Strain,OD600,Dilutions,Date,H202 treatment (%),White,Black,Halfblack,quaterblack,3quarterblack,quat.quatblack,other,Notes
YPS128,0.923,100,11/14/2011,0,106,8,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0,133,12,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0,111,7,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.005,155,22,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.005,156,15,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.005,170,17,1,0,1,0,0,
YPS128,0.923,100,11/14/2011,0.01,109,11,2,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.01,119,9,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.01,116,12,2,0,1,0,0,
YPS128,0.923,100,11/14/2011,0.025,18,1,1,1,1,0,0,
YPS128,0.923,100,11/14/2011,0.025,15,3,2,1,0,0,0,
YPS128,0.923,100,11/14/2011,0.025,7,1,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.05,114,19,3,6,0,0,0,
YPS128,0.923,100,11/14/2011,0.05,123,13,6,6,0,0,0,
YPS128,0.923,100,11/14/2011,0.05,116,18,6,5,0,0,0,
YPS128,0.923,100,11/14/2011,0.075,2,0,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.075,1,0,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.075,0,0,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.1,1,0,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.1,0,0,0,0,0,0,0,
YPS128,0.923,100,11/14/2011,0.1,0,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.15,3,1,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.15,3,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.15,2,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.2,6,1,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.2,3,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.2,2,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.3,1,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.3,0,0,0,0,0,0,0,
YPS128,0.923,10,11/14/2011,0.3,0,0,0,0,0,0,0,
