Strain,OD600,Dilution,Date,H2O2stock,White,Black,halfBlack,quarterblack,ThreeQblack,QQblack,Other,Notes
M2-8*,0.732,100,2/8/2012,0,95,2,0,0,0,0,1,
M2-8*,0.732,100,2/8/2012,0,0,0,0,0,0,0,0,
M2-8*,0.732,100,2/8/2012,0,92,5,0,0,0,0,1,
M2-8*,0.732,100,2/8/2012,0.005,94,1,1,0,0,0,2,
M2-8*,0.732,100,2/8/2012,0.005,72,0,1,0,1,0,0,
M2-8*,0.732,100,2/8/2012,0.005,60,2,0,0,0,0,1,
M2-8*,0.732,100,2/8/2012,0.01,74,2,3,0,0,0,2,
M2-8*,0.732,100,2/8/2012,0.01,75,4,2,1,0,0,1,
M2-8*,0.732,100,2/8/2012,0.01,80,3,0,1,0,0,3,
M2-8*,0.732,100,2/8/2012,0.025,65,0,2,0,0,0,2,
M2-8*,0.732,100,2/8/2012,0.025,76,2,0,1,2,0,2,
M2-8*,0.732,100,2/8/2012,0.025,60,3,5,2,2,0,1,
M2-8*,0.732,100,2/8/2012,0.05,0,0,0,0,0,0,0,
M2-8*,0.732,100,2/8/2012,0.05,60,1,0,0,0,0,3,
M2-8*,0.732,100,2/8/2012,0.05,48,0,2,2,0,0,1,
M2-8*,0.732,100,2/8/2012,0.075,67,2,6,1,0,1,4,
M2-8*,0.732,100,2/8/2012,0.075,72,0,4,1,0,0,1,
M2-8*,0.732,100,2/8/2012,0.075,49,2,3,3,0,0,3,
M2-8*,0.732,100,2/8/2012,0.1,50,3,2,0,0,0,2,
M2-8*,0.732,100,2/8/2012,0.1,51,2,2,0,0,1,2,
M2-8*,0.732,40,2/8/2012,0.1,0,0,0,0,0,0,0,
M2-8*,0.732,40,2/8/2012,0.15,170,3,1,3,1,1,5,
M2-8*,0.732,40,2/8/2012,0.15,171,5,3,7,0,0,1,
M2-8*,0.732,40,2/8/2012,0.15,166,7,1,5,1,0,7,
M2-8*,0.732,40,2/8/2012,0.2,189,3,7,3,0,1,6,
M2-8*,0.732,40,2/8/2012,0.2,188,5,4,2,2,0,5,
M2-8*,0.732,40,2/8/2012,0.2,171,3,5,5,2,1,4,
M2-8*,0.732,40,2/8/2012,0.3,139,1,4,3,5,0,12,
M2-8*,0.732,40,2/8/2012,0.3,0,0,0,0,0,0,0,
M2-8*,0.732,40,2/8/2012,0.3,130,2,3,5,2,2,7,
