YNR051C	BRE5
YDR110W	FOB1	
YOR136W	IDH2
YBR267W	REI1
YLR371W	ROM2	
YDL075W	RPL31A	
YLR448W	RPL6B
YJR066W	TOR1
YNL229C	URE2
YBR238C	
YBR255W	
YBR266C	
YOR135C	
