"I"	"se.I"	"G"	"se.G"	"rls"	"se.rls"
"fig3.sir2.fob1.05glucose"	0.00137281991370412	0.000894112210388463	0.146828467567325	0.0425989329771546	32.2975	1.51835047268236
"fig3.WT.01glucose"	0.00413201338779691	0.00275113779211983	0.106564714196983	0.0250315246822830	30.285	1.97444862390011
"fig3.sir2.fob1.01glucose"	0.00360201522880749	0.00216073336632326	0.074879557099552	0.0203194524665854	40.5475	3.62297039370793
"fig3.by4742.005glucose"	0.00237279650342889	0.00196023313849755	0.142076917736680	0.0607863519914634	32.2775	1.30166644203336
"fig3.sir2.fob1.005glucose"	0.00358948330121926	0.00216364500013249	0.073324627717345	0.0228801145072077	41.5875	3.8481326640333
"fig4a.PSY316"	0.00521811605818292	0.00286393951379365	0.151839473782500	0.0439872078541441	21.419375	1.07964095854084
"fig4a.PSY316.fob1"	0.00368942729172840	0.00278834783814233	0.202232852723353	0.058751262099973	20.3175	1.26731848950694
"fig4a.PSY316.sir2ox"	0.00297065820609888	0.00161900879750323	0.180292661124446	0.0349249465220961	21.6224	0.946483416200652
"fig4b.BY4742.2glucose"	0.00267989394334877	0.00103251663822734	0.141433306809108	0.0160754341004979	26.1125	1.05941934581283
"fig4b.BY4742.005glucose"	0.00287791825491367	0.00108247033004965	0.107853164792580	0.0173491596713353	31.8991666666667	1.36371261628383
"fig4b.by4742.SIR2.ox.2glucose"	0.00285032367512241	0.000725232986993364	0.096939857230952	0.0106198434046822	34.48	1.48359770385798
"fig4b.by4742.SIR2.ox.005glucose"	0.00298625301530103	0.000886166382904889	0.0669044847873773	0.00764397145313558	42.16671875	1.68260241444229
