"I"	"se.I"	"G"	"se.G"	"rls"	"se.rls"
"X031104.BY2N.RLS.tab"	0.0093605039314506	0.00350886019606071	0.0721390663532824	0.0138743164517315	27.0634765625	1.96322163469461
"X031104.SK1.RLS.tab"	0.0189800900867783	0.00781195041432212	0.130806587159114	0.0409282573805934	14.640625	1.06141064064617
"X042204.KLBY4716.RLS.tab"	0.00766037785249987	0.00393697460747923	0.0810601110246383	0.0177538373621945	27.3575	2.12681445913595
"X052604.sir2D.rls.tab"	0.0132031460061504	0.0041512341849801	0.213150938084166	0.0292271596305742	12.4528	0.649656235627579
"X052604.W303.rls.tab"	0.00452029737933134	0.00298710738274219	0.214779501400349	0.061013570705578	18.3955555555556	1.38330863662578
"X053104.BY4741.rls.tab"	0.00487130960534695	0.00236919718877145	0.0874787162408222	0.0172029935024173	31.7188888888889	1.93748431378316
"X053104.BY4742.rls.tab"	0.0114861021677414	0.00419657596970628	0.112562407947826	0.0390481518013806	21.4055555555556	1.60249047870964
"X053104.JSBY4741.rls.tab"	0.00338073703864973	0.00134199587834137	0.0870492046764209	0.0173399331807150	35.2855555555556	1.91646792239616
"X061004.srp1ts.rls.tab"	0.0361549590790342	0.0208311832440245	0.334908959634556	0.0960868980413866	6.78061224489796	0.537054257661341
"fig1a.BY4742"	0.00342760199697532	0.000753599391205032	0.124126641819594	0.0102730470000923	26.6965927977839	0.65631359692685
"fig1a.fob1"	0.00325701337944294	0.000735057762110681	0.0751134009531817	0.00643153553525284	37.7295408163265	1.07549936185071
"fig1a.gpa2"	0.00438235708783194	0.00177962140887490	0.0815506587634238	0.0205018243077782	34.85875	2.15164330460614
"fig1a.gpr1"	0.00662189109640674	0.00242490533641912	0.0648576834027732	0.0161799332815167	34.171875	2.34821391140542
"fig1a.hxk2"	0.00633762496637836	0.00128063464786533	0.055747164947888	0.00940804799445452	36.8531944444444	1.60896516062679
"fig1b.BY4742"	0.00351723410443526	0.000636698285338577	0.123696885251817	0.00895192674269709	26.61776	0.605562520525387
"fig1b.fob1"	0.00325001738970708	0.000789646520783032	0.075378496142375	0.00720054703207393	37.6718877551021	1.10226246245099
"fig1b.hxk2"	0.00619182597920072	0.00124395752130221	0.0571364397088346	0.00882733734163564	36.7571527777778	1.61802020204382
"fig1b.fob1.hxk2"	0.00439136152607862	0.00086290897560957	0.0422819392410093	0.0042937780687235	48.4324609375	1.62965912522332
"fig1c.BY4742"	0.00318129796984011	0.000572397804223399	0.124107121701205	0.00849832229016361	27.2455765595463	0.630038203072201
"fig1c.fob1"	0.00321752194688324	0.000780019354615474	0.0755296989653137	0.00704629030697714	37.7297448979592	1.15991908430185
"fig1c.gpa2"	0.00445778048253832	0.00174597018154021	0.079351618472489	0.0176448595251949	35.125625	2.09128600709265
"fig1c.fob1.gpa2"	0.00186678587599709	0.000781920965017836	0.0595895884902126	0.0111461720046163	53.86875	2.73411935618147
"fig2a.BY4742"	0.0035633736181052	0.000807789297774151	0.122755134695472	0.0115411351057940	26.7275147928994	0.702850790945656
"fig2a.sir2"	0.00271847064552806	0.00114961463251898	0.330239344043509	0.0381074514691246	14.0051851851852	0.35394140470374
"fig2a.hxk2.sir2"	0.00536197613198878	0.00290099601129553	0.333268874042742	0.0505620492377093	12.37	0.586002105314435
"fig2a.gpa2.sir2"	0.00175556094097641	0.00104896079291352	0.48681556284101	0.0792130241078856	11.71125	0.496621599228742
"fig2b.BY4742"	0.00536195763756405	0.000994654899898282	0.0990633959291263	0.00919761984340824	27.465425	0.806585454151788
"fig2b.sir2"	0.00267838132007315	0.00105399592283925	0.332810490504354	0.037726091005454	13.9556790123457	0.394856985456306
"fig2b.sir2.fob1"	0.00621502983283672	0.00126871103536469	0.0772612051752172	0.00833958987788177	29.9986224489796	1.08664457373152
"fig2c.BY4742"	0.00364836912044649	0.000861909377424961	0.122608314641691	0.0122933497297830	26.5512456747405	0.70398935121758
"fig2c.sir2.fob1"	0.00598786298436008	0.00123260096912199	0.0790296455415288	0.00858388145371036	29.9792346938775	1.11151620949647
"fig2c.sir2.fob1.hxk2"	0.00303844174745472	0.00155311035603185	0.0595787368000435	0.0112319898354975	45.1941666666667	2.4176041918082
"fig2d.BY4742"	0.00354650383599617	0.000855421396824071	0.124249104703462	0.0112131829749529	26.5482698961938	0.730820332763157
"fig2d.sir2.fob1"	0.00604945475733131	0.00101752896570169	0.0778235753429003	0.00693010672650852	30.1126020408163	0.977983901283098
"fig2d.gpa2.sir2.fob1"	0.000817855057102973	0.000741331923721567	0.0864982844457707	0.0189157831178285	51.39375	2.9634296118016
"fig3.by4742.2glucose"	0.00286067746730166	0.00164756139073383	0.177495011855649	0.0516965746322903	24.0325	1.44661810695443
"fig3.sir2.fob1.2glucose"	0.00948430625400717	0.00503233478388558	0.0930089909329337	0.0618776071309995	26.67	2.73968880291943
"fig3.by4742.05glucose"	0.00912875251878285	0.00636953001870413	0.0877228931070618	0.0367703982791064	27.24	3.78732651157293
