Strain,OD600nm,Dilution,Date,H2O2 treatment (%),White,Black,HalfBlack,quarterBlack,3quarterBlack,quat.quatBlack,Other,Notes
M13*,0.932,100,8/24/2011,0,343,1,0,0,0,0,0,
M13*,0.932,100,8/24/2011,0,365,1,0,0,0,0,0,
M13*,0.932,100,8/24/2011,0,330,0,0,0,0,0,0,
M13*,0.932,100,8/24/2011,0.005,324,3,4,5,2,0,0,
M13*,0.932,100,8/24/2011,0.005,335,2,1,4,1,0,0,
M13*,0.932,100,8/24/2011,0.005,323,2,1,2,1,0,0,
M13*,0.932,100,8/24/2011,0.0075,316,5,2,5,2,0,0,
M13*,0.932,100,8/24/2011,0.0075,335,2,4,2,0,0,1,
M13*,0.932,100,8/24/2011,0.0075,357,1,2,4,3,1,0,
M13*,0.932,100,8/24/2011,0.01,318,3,6,8,2,1,0,
M13*,0.932,100,8/24/2011,0.01,312,6,5,7,5,0,0,
M13*,0.932,100,8/24/2011,0.01,323,3,3,7,2,0,0,
M13*,0.932,100,8/24/2011,0.02,284,9,10,4,4,0,1,
M13*,0.932,100,8/24/2011,0.02,306,6,0,8,2,1,0,
M13*,0.932,100,8/24/2011,0.02,301,6,6,11,2,0,1,
M13*,0.932,100,8/24/2011,0.025,276,7,6,6,6,0,1,
M13*,0.932,100,8/24/2011,0.025,286,3,2,6,4,1,0,
M13*,0.932,100,8/24/2011,0.025,284,9,5,2,2,1,0,
M13*,0.932,100,8/24/2011,0.03,246,7,9,4,1,0,0,
M13*,0.932,100,8/24/2011,0.03,270,10,4,11,3,1,0,
M13*,0.932,100,8/24/2011,0.03,265,6,3,5,3,1,0,
M13*,0.932,100,8/24/2011,0.04,209,9,6,7,4,0,0,
M13*,0.932,100,8/24/2011,0.04,201,8,2,5,0,0,0,
M13*,0.932,100,8/24/2011,0.04,214,3,3,5,2,0,1,
M13*,0.932,100,8/24/2011,0.05,200,8,3,9,4,0,0,
M13*,0.932,100,8/24/2011,0.05,188,4,3,7,4,0,0,
M13*,0.932,100,8/24/2011,0.05,189,5,6,9,4,0,0,
M13*,0.932,100,8/24/2011,0.06,138,4,4,4,5,0,0,
M13*,0.932,100,8/24/2011,0.06,133,5,5,3,1,0,0,
M13*,0.932,100,8/24/2011,0.06,149,6,3,3,1,0,0,
