"Strain"	"expt"	"Tc"	"wc"	"Tmmax"	"Tg"	"wg"	"Tbmax"	"Td"	"wd"	"Tdmax"	"b.min"	"b.max"	"b0"	"half.0.raw"
"M34"	"050306.M34.1.tab"	7.40820865613807	6.20529143635425	9.65	8.02100583948517	20	8	8.96541666666667	20	10.0450609932831	0.0587360594795539	0.00168350168350168	0.00602885945839099	0.000593002569677802
"M34"	"030105.M34.lohcls.csv"	4.71004401499131	11.6894790044145	5.75	6.75373017354133	10.783667288871	6.85	8.72129136149143	2.17954167600097	13.8204824036047	0.244019138755981	0.00126262626262626	0.00126262626262626	0
"M34"	"M34.053006"	8.2018641131267	11.3898495586149	10.05	9.95392953597724	12.4239408299254	10.1	7.73369791930807	5.3290669429631	9.63447806998572	0.287978863936592	0.00459242250287026	0.00459242250287026	0.000574052812858783
"M34"	"M34.041806.tab"	6.6098437726024	15.9702996715027	7.85	8.13005829660318	26.8613918721106	8.25	8.11182462730263	12.2639121014698	9.98872830289673	0.354241877256318	0.0070568700705687	0.0070568700705687	0.00186799501867995
"M34"	"M34.100506.37C.tab"	3.1531313628233	4.8398236408459	4.15	4.21473762148563	9.78400802782634	4.15	4	10	7.661248189307	0.0633693972179289	0.00722059439095856	0.00886834873844617	0.00174868848363727
"101S"	"101S,050806"	4.39742739335266	12.6391900288253	5.35	5.362919224289	7.43235770831956	5.2	4.875	10	9.6675540529355	0.571428571428571	0.00126742712294043	0.00340425531914894	0.000283687943262411
"M1-2"	"M1-2,050806"	6.53040570721706	17.3113091164123	7.65	6.875	10	6.75	6.875	10	8.47206442898665	0.0203966005665722	0.00149476831091181	0.00256045519203414	0.000284495021337127
"M13"	"M13,050806"	7.69027356519575	17.5247840520313	9.05	12.0132323246944	16.0223902763595	12.05	7.875	10	14.0921354564444	0.152296157450797	0.00124223602484472	0.00124223602484472	0.00031055900621118
"M14"	"M14,050806"	3.23082273615649	3.51863508362123	4.2	7.13945363822953	38.0392986335833	7.15	3.91666666666667	20	11.3180895736887	0.139291932675566	0.00650887573964497	0.00650887573964497	0
"M2-8 "	"M2-8,050806"	3.19822914234448	9.75343130671247	4	3.91666666666667	10	3.85	3.91666666666667	10	7.40360545284752	0.0156862745098039	0.000841750841750842	0.00285388127853881	0.000570776255707763
"M32"	"M32,050806"	8.7976441323885	5.96055892746797	11.5	8.95833333333333	20	8.9	8.95833333333333	20	8.0429899740411	0.0206948927283083	0.00960698689956332	0.0119465917076599	0.000878425860857344
"M5"	"M5,050806"	6.30655684671953	19.2851271111297	7.35	8.68192849491655	9.75607261822984	8.75	6.875	10	7.1885030599375	0.298989898989899	0.000598444045481747	0.00225073148773351	0.000900292595093405
"M8"	"M8,050806"	5.05496168068265	10.9550007928122	6.25	16.0873450478019	21.1309595889754	16.2	14.9587534216624	18.0500285487607	21.8023675977695	0.30089628681178	0.00383877159309021	0.00547008547008547	0.00136752136752137
"YPS128"	"YPS128,050806"	6.85913183075306	5.752774550546	9	12.0097111848424	7.79268100059828	12.05	9.37749504925564	4.24558694722463	14.197413528973	0.4	0.0224986281324309	0.0224986281324309	0.00201207243460765
"YPS163"	"YPS163,050806"	5.66608459898303	4.92952209092457	7.5	10.4131102600448	10	10.4	5.3925276036526	2.51922384477315	7.86525699468314	0.2	0.0137741046831956	0.0150679897096656	0.00110253583241455
"101S"	"101S,053006"	4.29120146145147	14.213845946579	5.15	6.72342533630665	27.9584690683424	6.7	4.34578531238599	12	5.78717264997655	0.105263157894737	0.0017636684303351	0.00312825860271116	0
"M1-2"	"M1-2,053006"	6.46449311051961	19.2826772022641	7.5	7.83333333333333	17	7.8	7.83333333333333	17	10.005098770981	0.080952380952381	0.00142551674982181	0.00154978690430066	0
"M13"	"M13,053006"	8.0656380360671	17	9.5	11.1805015887858	17	11.2	10.8958333333333	17	12.8020833333333	0.245772266065389	0.00213371266002845	0.00223214285714286	0
"M14"	"M14,053006"	3.36014133337646	5	4.45	7.49059060195966	8.78782190328167	7.4	7.59949621825169	8.82648689263356	10.6446890577435	0.147506925207756	0.00284900284900285	0.00721500721500722	0.000824572253143682
"M2-8 "	"M2-8-1,0533006"	4.74452235656287	10	5.9	4.6968938677494	15.6851657325141	4.7	7.64297865472523	101.911910686078	8.3816977831086	0.333333333333333	0.0029940119760479	0.00773480662983425	0
"M2-8 "	"M2-8-2,053006"	4.26266256773228	15.8711171942549	5.05	4.48549025900603	10	4.5	7	"NA"	7.83333333333333	0.25	0.00488758553274682	0.00516528925619835	0.000516528925619835
"M32"	"M32,053006"	7.51457226533666	35.1264856560025	8.3	5.45494304519296	16.9000736958586	5.45	7.83333333333333	6	9.5586724842929	0.0831353919239905	0.0118273211117682	0.0142491779320424	0.00182681768359518
"M5"	"M5,053006"	5.43694937076739	7.84664939280812	6.95	6.0867835280235	6.65701804974557	5.9	5.8125	20	9.36203316212366	0.0901339829476248	0.00146198830409357	0.00227100681302044	0.00151400454201363
"M8"	"M8,053006"	9.57244780050403	12.6275147785404	11.65	11	10	11	10.8958333333333	10	10.9657697494213	0.0885714285714286	0.00358637178720861	0.00904522613065327	0.00033500837520938
"YPS128"	"YPS128,053006"	12.2930863434473	16.8972830567293	14.5	17.875	5	16.6	17.875	5	14.7476899717493	0.25	0.019755409219191	0.0226969292389853	0.00133511348464619
"YPS163"	"YPS163,053006"	5.73810690620447	5.51988220416245	7.55	9.29630823160648	9.09617817705909	9.2	10.8958333333333	5	10.8172518859343	0.124513618677043	0.0064065230052417	0.0064065230052417	0.00029120559114735
"101S"	"101S.030906.tab"	5.04922681514222	17.3399977373677	5.95	4.98427572336968	36.5688360763063	5	5.125	10	5.78738034956273	0.0588235294117647	0.0018682858477347	0.00286726260752235	0.000168662506324844
"M1-2"	"M1-2.030906.txt"	5.83430637603969	19.1792961503486	6.8	6.08333333333333	10	5.95	6.08333333333333	10	6.41247948605765	0.0314650934119961	0.00143563566757059	0.00180475799835931	0
"M13"	"M13.lohcls.013106.tab"	8.26555455020707	16.3565557313233	9.75	9.97379493239212	48.4665372953454	10	8.95833333333333	20	10.8691235154974	0.140756302521008	0.00104616189355303	0.00191597098672506	0.000136855070480361
"M14"	"M14.lohcls.013106.tab"	5.29498270333695	23.0958578541039	6.05	6.5	10	6.5	6	10	5.91904194533791	0.222222222222222	0.00451085424302227	0.00854244527495996	0.00133475707421249
"M2-8 "	"M28.022006.txt"	4.2896920761128	8.46747168685595	5.45	4.91666666666667	20	4.9	4.91666666666667	20	5.9804871633067	0.0218579234972678	0.00254366627098525	0.00257289879931389	0.00100057175528874
"M32"	"M32.022006.txt"	7.58296438222938	10.620982422775	9.4	7.83333333333333	10	7.7	7.83333333333333	10	9.8984994877567	0.0284810126582279	0.00988060930424043	0.0121841155234657	0.00225631768953069
"M5"	"M5.032906.tab"	6.00841234997851	24.8861188182758	6.85	8.68012452667224	7.45794908665062	8.85	6.9509583978459	3.5587398096915	12.075570413539	0.3564875491481	0.00163296068333124	0.00163296068333124	0.000125612360256249
"M8"	"M8.030906.txt"	5.7282474010923	16.6440634854562	6.75	7.31197478731631	18.5460725036965	7.35	6.08333333333333	10	9.7391687966172	0.185265438786566	0.00412774277645014	0.00577915376676987	0
"YPS128"	"YPS128.013106.tab"	6.74477705451474	6.57918083685196	8.75	8.72771712758984	12.9628322252558	8.7	7	10	11.1492405401692	0.155601659751037	0.00175404404599493	0.00175404404599493	0.000779575131553303
"YPS128"	"YPS128.121205.37C.tab"	2.9768056294967	21.0812492948438	3.45	4.29673740610008	10	4.6	3.5313580140208	10.8619063057556	6.35609838939771	0.428571428571429	0.00205151584226123	0.00345383375546857	0.000460511167395809
"YPS163"	"YPS163.030906.txt"	4.33473431188034	8.10012625719278	5.5	5.21932773634967	22.061902502948	5.25	5.125	10	7.01453149405253	0.186234817813765	0.00295285612463089	0.00295285612463089	0.000509113124936361
"Rad52DD"	"060306.rad52DD1.tab"	3.27445115654126	1.92184563817433	3.15	5.53883599897557	12	5.55	"NA"	"NA"	"NA"	0.255043227665706	0.169898430286242	0.169898430286242	0.0166204986149584
"Rad52DD"	"060306.rad52DD2.tab"	2.95190773973663	1.74216414920239	2.5	8.25444966662017	17	8.35	"NA"	"NA"	"NA"	0.288444830582103	0.111885067479321	0.171593366979092	0.00504686373467916
