Strain,OD600,dilution,date,H2O2 treatment,white,black,halfblack,quatblack,3quatblack,quatquatblack,others,Notes
SGU57,1,100,1/13/12,0,189,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0,197,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0,186,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0.005,184,1,0,0,1,0,0,
SGU57,1,100,1/13/12,0.005,191,0,1,2,0,0,0,
SGU57,1,100,1/13/12,0.005,190,0,1,1,0,0,0,
SGU57,1,100,1/13/12,0.01,173,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0.01,165,0,1,0,0,0,0,
SGU57,1,100,1/13/12,0.01,179,0,1,0,0,0,0,
SGU57,1,100,1/13/12,0.025,128,1,0,1,0,0,0,
SGU57,1,100,1/13/12,0.025,111,1,0,0,0,0,0,
SGU57,1,100,1/13/12,0.025,113,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0.05,56,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0.05,42,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0.05,37,0,0,0,0,0,0,
SGU57,1,100,1/13/12,0.075,35,0,0,0,0,0,0
SGU57,1,100,1/13/12,0.075,13,0,0,0,0,0,0
SGU57,1,100,1/13/12,0.075,24,0,0,0,0,0,0
SGU57,1,100,1/13/12,0.1,3,0,0,0,0,0,0
SGU57,1,100,1/13/12,0.1,4,0,0,0,0,0,0
SGU57,1,100,1/13/12,0.1,3,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.15,16,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.15,17,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.15,19,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.2,7,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.2,6,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.2,3,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.3,12,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.3,12,0,0,0,0,0,0
SGU57,1,10,1/13/12,0.3,9,0,0,0,0,0,0
